theoryCluster,theoryGroupIndex,theoryID,idTheoryGroupIndex,theoryName,theoryRelatedTo,theoryLogics,theorySummary,theoryPrinciples,theoryTags,theoryExample,theoryStructureOfTheInternationalSystem,theoryRelationOfSystemToEnvironment,theorySecurityReferentObject,theoryAgent,theoryThreatActors,theorySourceOfResilience,theoryInterventions,theoryStrategy,theoryPrimaryAuthors,theoryYear,theoryLimitations,theoryAudience,theoryResearchDrawnUpon,theoryNotesCrossReferences,theoriesTechnology
liberalism,Reaction to Realism,12,11,Democratic Peace Liberalism,Awaiting,National,"Liberal states promote collective security arrangements, civic hospitality and trade amongst themselves.","There is a marked difference between liberal practices as carried out towards other liberal societies, and those liberal practices that are directed towards non-liberal societies. Democratic peace liberalism builds upon this observed difference through working towards republican constitutions, collective security arrangements and civic hospitality (in which Doyle included free trade).","democratic peace liberalism, liberalism, liberal, rule of law, law, peace, state (Referent), civic, liberal, republican, collective, hospitality, right, integration, democratisation, conflict resolution, human rights, state (Threat), anarchy, adversarial, uncertainty, association, liberalism (Agent), common values, trust, social, dynamic, interdependence, Doyle (Primary Source)",A democracy's reluctance to wage war or to take other active security measures against another democracy.,"Anarchy, adversarial, contested, social, dynamic, governance without government.",Uncertain international environment; serves as an attractive model; open for association.,The state; human rights.,"Multiple issue areas; security depends on encouraging liberalism. In the short term, it must protect liberalism, including liberal institutions; long-term aim is the spread of similar tendencies in non-liberal states.","Actors/states with opposing value orders, and wishing to restrict the spread of liberalism.",Democratic mechanisms; common values; culture of peaceful conflict resolution; reduction of fear and increasing of trust in international relationships; internal power structure symmetrical with high degree of interdependence.,Installing democratic forms of self-government in militarily subjugated states (Iraq).,"Democratisation, conflict resolution, rule of Law. The use of force depends on the recipient's form of government. However, the fact that liberal states have faced enemies of liberalism distorts the historical record; we do not know how they may have diverged in the absence of such an enmity.","Michael Doyle, Philosophy and Public Affairs; also see, President Clinton, A National Security Strategy for a New Century (1998).",1983,"It is noteworthy that there is a 'dark side of liberalism'; recent 'liberal' attempts to bring other states to liberal democracy (in Iraq, for example) have raised fears that, far from being a recipe for peace, liberal foreign policy may have its own tendencies towards war.",Awaiting,"Immanuel Kant, Perpetual peace: a philosophical sketch, and On the relationship of theory to practice in political right.",Awaiting,Awaiting
game theory,Reaction to Realism,14,12,Game Theory,Awaiting,National,Games provide a basis for deciding security questions and dilemmas. ,"Games provide a basis for deciding security questions and dilemmas. Relates to any situation in which an outcome depends on the choices of two or more decision-makers, or players, leading to an outcome which can be more or less specific as desired. Analyses interstate conflicts as zero-sum games, any game in which the interests of the players are diametrically opposed. A non-zero-sum game is an interactive situation in which the players have mixed motives: in addition to conflicting interests, with some interests in common. Non-cooperative games are distinguished by the possibility of binding agreements. Strategic-form: players select strategies simultaneously, before play. Strategy is defined as a complete contingency plan that specifies a player's choice at every situation that may arise.","game theory, games, security, dilemmas, choice, zero-sum, state, motivation, interests, cooperation, non-cooperation, binding agreement, strategy, play, plan, individuals, groups, state (Referent), groups of states, anarchy, adversarial, contested, uncertainty, mathematics, strategic-form games, mathematical approach, formal structure, logical argumentation, contingency plan, von neumann (Primary Source), Morgenstern (Primary Source)","Deployed applications of game theory for security for key organizations such as the Los Angeles International Airport police and the U.S. Federal Air Marshals Service' (Source: Tambe). By analogy, security reasoning can be compared to bluffing in poker: the decision-maker attempt to minimize the maximum amount of losses another decision-maker can inflict.","Anarchy, adversarial, contested.",Uncertain international environment.,Individuals; groups; states; groups of states acting as a coherent unit.,Agent of the state or group instigating the game theoretic approach.,"Individuals, groups of individuals, states, or groups of states, who in some sense operate as a coherent unit against other units.","One of the strengths of game theory is that its formal structure facilitates the identification of inconsistent assumptions, highlights the implications of initial assumptions, and increases the probability of logical argumentation.","Mathematical approach to deploy limited security resources to maximize their effectiveness; quantitative evaluation of dependability and security, to model behaviour of intelligent agents including attackers with varied motivations and skills. For example, to 'randomize security schedules to avoid predictability, with the randomization using artificial intelligence techniques to take into account the importance of different targets and potential adversary reactions.' Security and Game Theory: Algorithms, Deployed Systems, Lessons Learned, Milind Tambe, CUP, 2011.","Strategic-form games and Nash equilibria; Extensive-form games, backwards induction and subgame perfect equilibria.","John Von Neumann and Oskar Morgenstern, Theory of Games and Economic Behavior.",1944,Difficulties in generalising computations that are based on simple scenarios.,Awaiting,"The book is based on earlier research by Neumann, published in 1928 under the German title 'Zur Theorie der Gesellschaftsspiele' ('On the Theory of Parlor Games').",Compare to forms of realism and liberalism based on alliances of actors.,Awaiting
liberalism,Reaction to Realism,11,13,Commercial Liberalism,Awaiting,National,"States offer what they can in both commerce and global relations, in a spirit of cooperation.","Douce commerce' ('beneficent commerce'); a global and mutual division of labour- a way of life in which people offered to each other the various products in the production of which they specialised in a spirit of cooperation. This is a critique of mercantilism as practiced by the ancien regime, which says the state must do all to increase the amount of bullion held. Voltaire in 1764: 'It is clear that a country cannot gain unless another loses and it cannot prevail without making others miserable.'","commercial liberalism, liberalism, liberal, rule of law, law, peace, state (Referent), cooperation, mutual, state, global, trade, economic disarmament, tariffs, power, democratisation, conflict resolution, rule of law, integration, state (Threat), anarchy, material, uncertainty, commercial, economic, economic cooperation, interdependence, trade restraints, association, smith (Primary Source), Moravcsik (Primary Source)","Protecting the home interests by protecting the economies of allies from storms in the world situation, with temporary measures that do not involve tarriffs or trade restraints.","Anarchy, adversarial, contested, social, dynamic, governance without government","Uncertain international environment; serves as an attractive model; open for association. Globalisation; 'people in McDonald's countries don't like to fight wars anymore, they prefer to wait in line for burgers' (Friedman 2000: 14).",The state.,"Multiple issue areas, espcially concerning trade: 'trade is generally a less costly means of accumulating wealth than war, sanctions or other coercive means' (Moravcsik, 2001: 50)",Actors/states wishing to impose trade restraints.,Removal of trade restrictions; ties of economic cooperation and interdependence; internal power structure symmetrical with high degree of interdependence.,"Economic disarmament'; focus on limiting the power of governments to impose trade restraints, primarily through international regulation. Tariffs were to be reduced to the minimum and quotas and other quantitative restrictions positively forbidden.","Democratisation, conflict resolution, rule of Law. Theoretical justification for protecting economies and infant industries from storms in the world economy with temporary measures (post great Depression).","Andrew Moravcsik, Liberal international relations theory: a social scientific assessment.",2001,"It is noteworthy that there is a 'dark side of liberalism'; recent 'liberal' attempts to bring other states to liberal democracy (in Iraq, for example) have raised fears that, far from being a recipe for peace, liberal foreign policy may have its own tendencies towards war.",Awaiting,"Adam Smith, Wealth of Nations- the association between non-mercantilist, open trading borders and peace.",Awaiting,Awaiting
political sociology,Reaction to Realism,21,14,International Political Sociology,Everyday Security,"Societal, Human",Extending the field of security to new social fields; actively open spaces of discussion and political action.,"Diverse practices of (in)security attempt to (Relation to Environment)produce political subjectivities as part of what Michel Foucault (1979) referred to as logics of governmentality. A sociologically 'thicker' understanding of dynamics of (in)securitization in ways that identify and seek to work with _ rather than bracket off and sideline _ cultural contexts occluded by securitization theory. Led to studies of not only the (in)securitizing moves of national governments, but also the knowledge and practices of non-state actors, including security professionals (Bigo, 2000) and private security companies (Leander, 2005, 2013), 'dataveillance' (Amoore and De Goede, 2005), and the cultivation of unease and suspicion (Bigo et al., 2007; Bigo and Tsoukala, 2007). (Source: Bigo, 2008). The need to 'actively open spaces of discussion and political action, as well as to provide the analytical tools, concepts and categories for possible alternative discourses and practices' (CASE, 2006, p.476).","international political sociology, heterogeneous, military (Referent), political, economic, environmental, religious, societal, state (Agent), reconceptualising, engagement, fields, (in)security, governmentality, (in)securitization, (in)securitizing moves, practices, dataveillance, unease, collective identities, mergings, depoliticization, reflexive, CASE collective (Primary Source)","Societal security differs from national or state security: When the Argentinian generals attacked the Falkland Islands they hoped to rally a population to their cause and tried to fuse political and national security, undermining the latter.",Awaiting,Awaiting,Heterogeneous - the military; the political; the economic; the environmental; the religious; the societal.,The state where relevant; also large-scale collective identities functioning independently of the state.,Awaiting,"There is no clear boundary, theorizing security is practising security; re the social science community, 'Relevance is a matter of 'becoming' relevant, not a static concept of 'being' relevant' (Source, CASE, 2006, p.473).","Mergings'; extending the field of security to new social fields; exposing the 'security traps', that are produced by the widening of the concept of security: exceptionalism; risk analysis; and the 'politics of belonging' CASE, 2006, p.460). ","Critique provides useful insights not only for analysis and critique, butalso for active engagement in international politics; denunciation of depoliticization, especially in how threats are construed from the linkage of security to development; an argument against research without politics (source: CASE, 2006). In more concrete terms, 'assist security practitioners in becoming more reflexive about their practices, as well as in helping them to cope with multiple truths, theories and technical knowledge' (CASE, 2006, p.474).","The C.A.S.E. COLLECTIVE first article: Collective, C.A.S.E., Critical approaches to security in Europe: A networked manifesto. Security Dialogue, 37(4), pp.443-487.",2006,A suggested absence of empirical engagement in international political sociology-related work.,Awaiting,Michel Foucault (1979),"The restructuring of the field leads, logically, to the design of a semantic continuum of threats, ranging from irregular migration to terrorism. This continuum has real consequences not only for its intended targets, but also for security agencies and their relation to the political.' (CASE, 2006, p.459)",Awaiting
liberalism,Reaction to Realism,13,15,Neoliberal Institutionalism,Awaiting,"National, Societal",International institutions cooperate to mitigate conflict in a world of egoists.,Concentrates on the role of international institutions in mitigating conflict. 'Under what conditions will cooperation emerge in a world of egoists without central authority?' Robert Axelrod (1984).,"neoliberal institutionalism, liberalism, liberal, rule of law, law, peace, state (Referent), mitigation, institutions, international, cooperation, good, future, integration, democratisation, conflict resolution, non-cooperation, anarchy, adversarial, social, dynamic, uncertainty, association, tit-for-tat, interdependence, Keohane (Primary Source)","Transnational non-governmental organisations encourage interdependence and integration, supporting world security and promoting the welfare of state actors. ","Anarchy, adversarial, contested, social, dynamic, governance without government.",Uncertain international environment; serves as an attractive model; open for association.,The state.,Multiple issue areas; international and national institutions,States not abiding by international rules of cooperation.,International and national institutions; internal power structure symmetrical with high degree of interdependence.,"Tit-for-tat; when agents returned good for good, this initiated a potential spiral of cooperative behaviour.","Democratisation, conflict resolution, rule of Law. Enlarging the shadow of the future, by making interactions more durable and/or more frequent. Transaction costs; thsi includes 'the costliness of information, the costs of measuring the valuable attributes of what is being exchanged and the costs of protecting rights and policing and enforcing agreements' (North 1990: 27).","Robert O. Keohane, After Hegemony: Cooperation and Discord in the World Political Economy (Princeton, NJ: Princeton University Press).",1984,Growing integration increases the cost of withdrawal from cooperative ventures; is it interdependence or dependence?; prioritises the empirical evidence from developed and particularly European countries; the possibility of war remains despite increasing international cooperation.,Awaiting,"Hugo Grotius, seventeenth century theorist of international law, emphaising the potentially constraining effects of law on states, and developed the 'Just war' tradition-  'jus in bello', and 'jus ad bellum'; Immanuel Kant; Adam Smith; Woodrow Wilson.",Awaiting,Awaiting
human centred securites,Peace Studies,19,16,Peace Studies,Positive Security,"Human, Planetary & Environmental","Peace by peaceful means, security is not the mere absence of war.","The systematic, interdisciplinary study of conflict and war where the defining feature of peace studies is a normative commitment to non-violence. Early peace and conflict research involved both the redefinition of violence and peace; negative peace, being the absence of war and actual physical violence; and positive peace, initially described as 'the integration of human society'. First edition of the Journal of Peace Research, Galtung introduced his famous dual definition of peace, Galtung, Johan (1964), An Editorial, Journal of Peace Research, 1(1): 1-4. An absence of structural violence was described as 'positive peace' (Galtung, 1969: 183). When peace researchers began to speak about security, they redefined it in terms previously used for violence. ","peace studies, anti-war, cooperation, state-sanctioned violence, structural violence, redefining, reconceptualising, critical, peace, non-violence, conflict, war, negative peace, positive peace, integration, society, normative, conflict research, reflexive, groups, spheres, Galtung (Primary Source), Kant (Primary Source)","Peace by peaceful means: 'a territorial dispute between Ecuador and Peru was resolved through the creation of a binationalnatural park proposed by Galtung; see Galtung (2004: 79_81).' Source: footnote CASE, 2006, p.462.","Chaos, conflict and war is not inevitable, and is always being renegogiated. The world is manmade and thus changeable (Wallensteen, 1988; Dunn, 1991).",Reflexive.,Groups and spheres rather than states.,Awaiting,Awaiting,Proactive 'positive' peace stance in relation to security; the world is made by us and is therefore able to be changed by ourselves.,"Peace Studies 'seek to develop new avenuesfor cooperation, as well as to reduce significantly (and eventually to eliminate) violence, especially organized and increasingly destructive state-sanctioned violence', Barash and Webel 2002: 26.","Expand the concept of violence to include structural forms of violence.Violence is understood as everything that prevents people from realising their potential. Redefining security in terms previously used for violence and peace.","Johan Galtung, An Editorial, Journal of Peace Research, 1(1): 1-4.;  and, Galtung, Johan (1969), Violence, peace and peace research, Journal of Peace Research, 6(3): 167-191.",1964,"CASE, 2006, p.462 (see, international sociological theory): 'Peace researchers could learn from CASE in building deeper understandings of peace research's central concepts and in adopting new forms of criticism and reflexivity. This is especially important now, when military interventions are more often carried out in the name of peace than in the name of security (Weaver, 2004b: 62). Peace researchers should also reflect on the normative dilemmas of writing, speaking and practising peace.' Galtung has drawn cristicism for his opinions, including his statement that Mao Zedong was ""endlessly liberating when seen from many other perspectives that liberal theory has never understood"" and because China showed that ""the whole theory about what an 'open society' is must be rewritten, probably also the theory of 'democracy' - and it will take a long time before the West will be willing to view China as a master teacher in such subjects.""",Awaiting,"Kant, persistent tradition of explicit pacifism and antiwar activism within Christianity. See also Positive Security, above.",Awaiting,Awaiting
constructivism,Constructivism,15,17,Constructivism: Paris School,Awaiting,Planetary & Environmental,Security is constructed through a series of routinised practices and strategies applied across many areas of society.,"Security is constructed and applied to different issues and areas through a range of often routinised practices (rather than only through specific speech acts) that enable emergency measures to be carried out. Practices of surveillance and border controls, for example, particularly as undertaken by bureaucrats or 'professional managers of unease' (Bigo 2002:65) are a central part of securitisation, and are not simply those actions enabled by preceding speech acts.' From: Securitisation and the Construction of Security, Matt McDonald, p.12. Paris School approach summarised by CASE (2006): 'the configuration of context, the nature of the issue at stake and, finally, the complexion of power struggles among (in)security professionals, within or beyond flexible boundaries of the security field (see Bigo, 2001).","constructivism, Paris, construction, routine, practice, speech acts, control, securitisation, referent object, coconstitution, critical, critical security, guild, reflection, knowledge, routine, practice, surveillance, control, physical, sites of protection, referent fields, referent object, security practices, field, freedom (Referent), societies, police, military (Agent), diplomats, professionals, mobility, power dynamics, defense industry, political imagination, knowledge, power struggle, guild, reflection, Bigo (Primary Source)",Surveillance and border controls construct security by and through the routinised practices of agents of the state: When antiterrorist policies construct the enemy within as a (virtual) traveller.,Agents and structures are mutually constituted.,Thinking in terms of relations and process; reframing the international as a dynamics of power.,(Un)freedom in contemporary societies,"Police liaison officers in Europe, actors of the international scene, the military and the diplomats, the professionals of politics.",Mobility under smart surveillance. Smart mobility against smart surveillance.,Changing the complexion of power struggles among professionals in the field of (in)security.  'The unbearable lightness of security'.,A critical research into the de-assembling and re-assembling of the defense industry into a border-security-prevention complex of services.  The political imagination of mobility. Is moving a form of resistance and a practice of freedom?,Theory of boundaries and limits : methodologies implying reflexivity of knowledge.,"Didier Bigo, Elspeth Guild (Eds), Controlling Frontiers. Free Movement into and within Europe.",2005,"Despite attention to security issues the extent to which constructivists have developed a theory of international security is limited. This distinguishes constructivists from critical theorists (with their conception of security defined as a commitment to emancipation) and realists (whose theory of world politics as a whole is to a significant degree a theory of security and power politics). Being deeply dependent and influenced on the writings of Foucault, the Paris School does not offer anything beyond his cause, 'When Foucault met security studies: A critique of the Paris school of security studies'. 2006 BISA annual conference, Rita Floyd. 'Focusing on struggles within a field cancels out an interest in those who could be called the 'professionals of nothing', those who, at this minute, are being starved, oppressed, or shot' (Booth, 1997: 114).' From CASE, 2006, p.459.
",Awaiting,"Draws on Pierre Bourdieu's conception of the 'field'. Norbert Elias, Rene Girard, Michel Foucault, and Bruno Latour; Foucault's notion of 'governmentality'.","Possible to envisage images and visual representation being drawn into thesecuritisation framework as forms of 'securitising moves' - see Williams, and Hansen. And to see everyday mundane physical actions as part of this too. For the physical: On the role of physical action in the construction of security generally, see Weldes et al (1999:16-17). See also: The Politics of Protection: Sites of Insecurity and Political Agency, Edited by Andrew Dobson , Jef Huysmans and Raia Prokhovnik, 2005. CASE. 2006, p.459, on the Paris School: 'the field of the professionals of (in)security functions like a M_bius strip: the location of agents (inside/outside) is not fixed.'",Awaiting
constructivism,Constructivism,16,18,Constructivism: Copenhagen School,Awaiting,"Societal, National","Institutional values, norms, and individual identities are the basis for mutually agreeing what security is, in response to threat.","A framework for approaching the construction of security based on 'speech acts' that designate particular issues or actors as existential threats. Norms, identity and ideas generally are central to the constitution and dynamics of world politics. 'Securitisation' and 'securitisation moves', 'existential threat' to a particular referent object and this move is accepted by a relevant audience. Security, in this sense, is a site of negotiation between speakers and audiences, albeit one conditioned significantly by the extent to which the speaker enjoys a position of authority within a particular group: 'only from a specific place, in an institutional voice, by elites' Weaver (1995: 57). Regarding referent objects: 'at the heart of the (security) concept we still find something to do with defence and the state' (Weaver 1995: 47). Broadening of the definition of security to include concerns such as environmental change, poverty and human rights on state security agendas. ","constructivism, Copenhagen, construction, routine, practice, speech acts, control, securitisation, referent object, construction, routine, practice, speech acts, actors, norms, identity, control, securitisation, securitisation moves, threat, existential threat, referent object, negotiation, authority, coconstitution, anarchy, state, defence, environment, poverty, right, agent, structure, value, security complexes, regions, structuration, state (Referent), guild, groups, political leaders, global governance, desecuritisation, knowledge, reflection, Waever (Primary Source), Onuf (Primary Source)","Change is always possible, as was seen at the end of the Cold War in the way that strategic actors underwent structural changes in themselves and in the way that security was reconstructed as a concept.","For constructivsts, agents and structures are mutually constituted. This view is most neatly captured in Alexander Wendt's seminal 1992 article, 'Anarchy is What States Make of it'. This meaning is not (and cannot be) a simple reflection of an external material reality, but is developed through intersubjective interaction in the international system; several particular cultures of anarchy, rather than a timeless reality. The security dilemma is not inevitable, but is itself a social construction.","Security is a site of negotiation (between political leaders and domestic audiences in particular) and contestation (between different actors elaborating different visions of 'our' values and how 'we' should act). 'Regional security complex': a set of units in a particular geographical area whose security processes and dynamics are interlinked to the extent that their security problems need to be understood or addressed in conjunction with each other. Security complexes are defined in terms of mutually exclusive geographic regions, with Regions and Powers focusing on security interaction and dynamics in Europe, the Americas, Asia, the Middle East and Africa (Buzan et al. 1998: 201, Buzan and Weaver 2003: 44).","The state, and other groups if desired, but the state is priveleged in the framework. Generally encourages different definitions of referent object.","Agents and structures are mutually constituted; state political leaders designate other states as 'friend' or 'enemy' - and approach them as such - on the basis of conceptions of identity (see Hopf, 1998). Critical constructivists look at 'how possible' questions: 'how meanings are produced and attached to various social subjects/objects, thus constituting particular interpretive dispositions which create certain possibilities and preclude others' (Doty 1993: 298).",Any actor that is said to represent an `existential threat' to the referent.,"The designation of threat occurring because of theadoption of a particular perspective on security: conceptions of who we are and what we value encourage particular ways of thinking.","Associated with the development of norms for global governance and the role of ideational factors in world politics generally; commitment to avoiding universal and abstract analytical definitions of security. Weaver (1995: 56-57) expressed normative preference for desecuritization: the removal of issues from the security agenda; invoking the concept of security is seen as a discursive process that erases all rules of normal politics, requiring care in its use.","Securitization: from originally positioning the speech act itself as securitization, by 1998 these 'speech acts' were defined as securitizing moves, with an 'issue securitized only if and when the audience accepts it as such' (Buzan et al. 1998: 25). Facilitating conditions: particular contexts (including the form of the speech act; position of the speaker; and historical conditions associated with threat) that enable the acceptance of a particular securitizing move by the relevant audience. Constructivist approaches are able to come to terms with periods of structural change enabled by strategic actors in world politics; most prominently the end of the Cold War.","Nicholas Onuf, World of Our Making.",1989,"Lene Hansen (2000) suggests that the Copenhagen School's ultimate focus on 'dominant voices' contributes to further silencing those already marginalized from security debates. The Copenhagen School's expressed preference for desecuritization - the removal of issues from the realm of security - is a product of a narrow view of the logic of security that has important normative implications. In their framework, a further area of bias is arguably that towards the 'West', and ultimately neoliberal democratic forms of government. Also, the role of audience reception remains underdeveloped. Christoph Meyer argues that securitization theory does not adequately address 'different levels of risk perception and fear among different types of audiences' , Meyer, International terrorism as a force of homogenization? A constructivist approach to understanding cross-national threat perceptions and responses. Cambridge Review of International Affairs 22(4): 647-666; quote from p.660 (2009).",Awaiting,"Borrowing from the language theory of John L. Austin for speech acts. Waever suggests that the correct but less memorable linguistic term to use is 'illocutionary acts'. Example: For example, when somebody says ""Is there any salt?"" at the dinner table, the illocutionary act (the meaning conveyed) is effectively ""please give me some salt"" even though the locutionary act (the literal sentence) was to ask a question about the presence of salt. See also Giddens' theory of structuration.  Mitzen, p. 21: 'Alexander Wendt (1999) draws on Mead and symbolic interactionism to argue that states learn their identities in the international system as a result of how they are treated by fellow states.' Derived from the American philosophy of pragmatism and particularly from the work of George Herbert Mead,  'Mind, Self and Society: From the Standpoint of a Social Behaviorist', Chicago: University of Chicago Press, 1934.","Spectacle. compare: the importance of revolution is as a spectacle recieved everywhere by those who are not participants; and; illocution and perlocution of speech acts. The ontology of the event 'whose existence in the past constitutes a permanent virtuality' p. 19 Foucault. The field question: 'What is present reality? What is the present field of our experiences? What is the present field of possible experiences?' p.20. 'for a critical thought which takes the form of an ontology of ourselves, of presentreality.' p.21.",Awaiting
post-structuralism,Constructivism,22,19,Post-structuralism: Foucault,Ontological Security,Planetary & Environmental,The apparatuses of security are a series of techniques and strategies by which a society and conduct is rendered governable.,"The ensemble formed by the institutions, procedures, analyses and reflections, the calculations and tactics that allow the exercise of this very specific albeit complex form of power, which has as its target population, as its principal form of knowledge political economy, and as its essential technical means apparatuses of security.' Describes governmental rationality as ""the conduct of conduct"" (Lectures). Governmentality has been understood as: the art of government, the 'how' of governing (the calculated means of directing how we behave and act), and ""apparatuses of security"" include techniques and strategies by which a society is rendered governable. Using historical reconstructions embracing a period starting from Ancient Greece right through to modernity and neo-liberalism. ","post-structuralism, state (Referent), individual, autonomisation, postmodern, institutions, power, political economy, apparatus of security, governmental rationality, governmentality, strategy, society, Foucault (Primary Source)",Awaiting,Awaiting,A condition of tutelage (Kant) exists in the government of self and of others- unless released from this condition.,The state; the individual.,Awaiting,Awaiting,"The process of autonomisation, absorbing and moving beyond the state of tutelage.",Redirecting the calculated means of directing how we behave and act,Awaiting,"Michel Foucault, Governmentality. Trans. Rosi Braidotti and revised by Colin Gordon, in Graham Burchell, Colin Gordon and Peter Miller (eds), The Foucault Effect: Studies in Governmentality, pp. 87-104. Also see, Michel Foucault, The Government of Self and Others: Lectures at the College de France 1982-1983 (2010).",1991,"It can be argued that this and other postmodern theories of IR do not provide an overarching theory of security, or a coherent theory of change in world politics, because of the admission of many voices and many issues in the critique of traditional IR.",Awaiting,"Michel Foucault was greatly influenced by Kant's notion of ""Critique"". Foucault's focus on truth-telling or parresia in the ancient world, based upon 'one facet of Kant's philosophy, not the question of the conditions of possibility of true knowledge, Kant's analytic of truth, his epistemology, but rather that other dimension of Kant's thinking- what could be called an ontology of the present, of present reality, an ontology of modernity, an ontology of ourselves, (20-21) Foucault explores the prospects of extricating ourselves from our self-incurred tutelage, our present mode of subjectivity through which we exist under the authority of others.' From,  Alan Milchman & Alan Rosenberg, Michel Foucault, The Government of Self and Others: Lectures at the College de France 1982-1983, in Foucault Studies journal.","Differences between state of tutelage, and a state of natural powerlessness like childhood- see state of nature in Hobbes Locke. Note link between condition of tutelage and the condition of soft-balancing for example. Foucault, p. 51: 'in his text on Aufkl_rung Kant says that men are responsible for their own condition of tutelage- so that werethey to be released, and if they are released in an authoritarian way from their G_ngelwagen (the wheeled cart which guides them as children), they will be afraid of falling, unable to walk or cross the narrowest ditch, and they will fall.'  Compare 'bandwagoning' of neoclassical realism.  the concept of bandwagoning, whereby smaller states seek to achieve their security by allying with the major power or a dominant actor. Afterall, as Waltz summed it up, ""states... flock to the weaker side, for it is the stronger side that threatens them""."" Theory of International Relations"" (Addison-Wesley Publishing, 1979).",Awaiting
human centred securites,Feminist Theory,20,20,Feminist Theory,Theories of Care,"Societal, Human, Planetary & Environmentalc","International security is not a gender-neutral set of practices; gender is a way of structuringrelations of power; prevailing assumptions should be questioned regarding gender, social roles, and race.","Feminists share an interest in focusing attention on (gender-differentiated) people, however there is no single lens or perspective on the the ways in which gender is constructed through security (and insecurity) and on the ways in which security is constructed through gender. Multiple approaches include: Liberal feminists (Whitworth 2008); Radical feminists; Feminist critical theory, examining prevailing assumptions about both women and men: what it is to be a man or a woman, what is appropriately feminine or masculine behaviour, the roles of women and men within society, the workforce, the family (Whitworth 1994: 24), norms having an impact on marginalised men in particular (Connell 1995, Hooper 2001); feminist postmodernists, where any attempt to posit a single or universal truth needs deconstruction (Steans 1998: 25), and truth claims asserts power silencing or making invisible possibilities that do not fit into prevailing discursive practices (Marysia Zalewski, 2000: 26); Postcolonial feminist theorists, who find 'a discernible First World feminist voice' in IR which does not sufficiently foreground the 'erasures surrounding race and representation' (Chowdhry and Nair 2002: 10).","feminism, feminist theory, gender-differentiated people, gender-differentiated agents, armed conflict, critical, cooperation, peace, gender, construction, insecurity, feminine, masculine, roles, norms, deconstruction, power, race, representation, truth claims, postcolonial, erasure, Cohn (Primary Source)","Manipulating racialized and gendered assumptions of appropriately masculine (and feminine) behaviour, the sexual torture at Abu Ghraib also illustrates the gendered dimensions of contemporary imperialism and empire building (Eisenstein 2004, Enloe 2007, Philipose 2007, Richter-Montpetit 2007, Sjoberg 2007).",Awaiting,Awaiting,(Gender-differentiated) people.,Awaiting,Awaiting,"Facilitates women bringing a different point of view to politics and to security, one that is more focused on cooperation and peace","Interventions focus on the differential impact of armed conflict on women and men, the impact upon women and men of naturalized assumptions about their behaviour and actions, and the ways in which assumptions around masculinity and femininity figure into conflict and decision-making. For example Carol Cohn's (1987) analysis of state language siuch as 'collateral damage'; and the 'equation of political and military power with sexual potency and masculinity'.","Examining the practices of national security think-tanks, of nuclear strategy, of foreign policy decisions and of weapons of mass destruction. ","Carol Cohn, Sex and death in the rational world of defense intellectuals, Signs: Journal of Women in Culture and Society, 12(4): 687-718; also see, V. Spike Peterson and Anne Sisson Runyan, Global Gender Issues (2nd edn) (Boulder, CO: Westview Press, 1999). Sjoberg, Laura, ed. Gender and international security: feminist perspectives. Routledge, 2009.",1999,Awaiting,Awaiting,Awaiting,Awaiting,Awaiting
